year,month,precipitation,avg_dam_level,predicted_flood_severity,flood_risk_level
2026,1,26.61434729183268,63.21295190042169,16.485708513684575,Moderate
2026,2,16.277945411520278,64.06030479346217,10.177884350929617,Low
2026,3,24.101122125971884,63.22677502702936,15.139578375965499,Moderate
2026,4,17.494150573150385,62.161699067333736,10.591399308142346,Low
2026,5,28.460511054839692,61.888880440041916,17.666986052799917,Moderate
2026,6,36.75724889674782,61.72212630548795,22.958435231662992,Moderate
2026,7,36.623877932157214,63.76549503725588,23.19059741270337,Moderate
2026,8,34.43114915472214,70.53194109527273,24.58285148545622,High
2026,9,24.871088809842536,71.61031354054366,18.45549381029033,Moderate
2026,10,25.860815137397417,70.38327885390288,18.227662647277263,Moderate
2026,11,28.215974251839363,69.43903034009129,19.752562138979144,Moderate
2026,12,23.1426885673237,68.1648507194592,16.063770021100403,Moderate
